SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
43,UL,*Shingo Takatsu,White Sox,340,'04,5,1,Reliever,R,R,1-2,3-8,9-11,12-18,-,19-21,-,22-23,-,24+
49,P,Tony Graffanino,White Sox,80,'04,11,14,IF+1,R,,-,1-2,3-5,6-8,9-11,12-16,17-,18-19,-,20+
74,UL,Mark Buehrle,White Sox,410,'04,3,7,Starter,L,,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+
75,UL,*Juan Uribe,White Sox,480,'04,12,16,SS+4,R,,-,1-2,3-4,5-6,7-8,9-16,-,17-18,-,19+
75,UL,Bartolo Colon,White Sox,380,'04,4,8,Starter,R,,1-4,5-8,9-14,15-16,17-,18-19,-,20-23,-,24+
76,UL,Joe Crede,White Sox,190,'04,9,9,3B+1,R,,-,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
77,UL,Tom Gordon,White Sox,200,'04,4,1,Closer,R,,1-3,4-10,11-16,17-,18-,19-23,-,24-26,-,27+
78,UL,Paul Konerko,White Sox,120,'04,9,8,1B+0,R,,-,-,1-3,4-6,7-10,11-16,-,17-18,-,19+
79,UL,Carlos Lee,White Sox,410,'04,10,16,LF-RF+1,R,,-,1-,2-3,4-5,6-8,9-15,16-,17-18,-,19+
80,UL,Damaso Marte,White Sox,200,'04,5,1,Reliever,L,,-,1-6,7-10,11-15,16-17,18-19,-,20-26,-,27+
81,UL,Miguel Olivo,White Sox,100,'04,9,15,C+8,R,,-,1-2,3-4,5-6,7-9,10-16,-,17-19,-,20+
82,UL,Magglio Ordonez,White Sox,500,'04,11,12,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
83,UL,Frank Thomas,White Sox,390,'04,12,8,DH,R,HR,-,1-2,3-0,4-6,7-12,13-16,-,17-18,-,19+
84,UL,Jose Valentin,White Sox,140,'04,9,12,SS+3,S,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
94,UL,**Frank Thomas,White Sox,310,'04,13,10,1B+0,R,,-,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
103,UL,**Esteban Loaiza,White Sox,590,'04,5,8,Starter,R,20 K,1-2,3-9,10-15,16-17,18-,19-21,-,22-24,-,25+
117,UL,**Luis Aparicio,White Sox,420,'04,11,25,SS+6,R,RY G SB S,-,1-,2-5,6-,7-8,9-13,14-16,17-,18-21,22+
9,P,Hideki Matsui,Yankees,170,'04,10,9,LF-RF+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
26,UL,**Hideki Matsui,Yankees,150,'04,10,9,LF-RF+1,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
27,UL,*Gary Sheffield,Yankees,260,'04,12,10,LF-RF+1,R,,-,1-,2-4,5-6,7-12,13-18,-,19-,-,20+
35,UL,*Hideki Matsui,Yankees,280,'04,13,8,LF-RF+0,L,,-,1-2,3-5,6-7,8-12,13-17,-,18-19,-,20+
39,UL,**Tom Gordon,Yankees,170,'04,4,1,Reliever,R,,1-,2-8,9-14,15-16,17-,18-19,-,20-24,-,25+
52,UL,*Jason Giambi,Yankees,510,'04,14,8,1B+0,L,,-,1-,2-4,5-6,7-13,14-17,-,18-,-,19+
54,UL,*Alex Rodriguez,Yankees,540,'04,13,14,3B+3,R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
62,UL,**Kenny Lofton,Yankees,280,'04,10,22,CF+1,L,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
75,UL,**Gary Sheffield,Yankees,380,'04,13,16,LF-RF+1,R,S,-,1-,2-4,5-7,8-11,12-16,17-,18-19,-,20+
80,UL,*Jose Contreras,Yankees,90,'04,1,6,Starter,R,,1-4,5-11,12-15,16-18,19-,20-,-,21-,-,22+
82,UL,**Kevin Brown,Yankees,620,'04,5,7,Starter,R,,1-4,5-9,10-15,16-17,18-,19-22,-,23-24,-,25+
86,UL,**Paul Quantrill,Yankees,210,'04,5,1,Reliever,R,,1-4,5-7,8-14,15-16,17-,18-22,-,23-24,-,25+
92,UL,**Jason Giambi,Yankees,300,'04,13,11,1B+0,L,,-,1-2,3-4,5-7,8-14,15-16,-,17-18,-,19+
99,UL,*Derek Jeter,Yankees,300,'04,11,15,SS+2,R,,-,1-4,5-6,7-,8-13,14-15,16-,17-19,-,20+
102,UL,**Javier Vazquez,Yankees,500,'04,5,7,Starter,R,,1-3,4-9,10-14,15-16,17-,18-19,-,20-23,-,24+
104,UL,**Alex Rodriguez,Yankees,650,'04,13,14,"SS+5, 3B+1",R,V HR G S,-,1-2,3-4,5-6,7-11,12-14,15-,16-17,-,18+
106,UL,**Tino Martinez,Yankees,350,'04,11,10,1B+1,L,HR S,-,1-,2-3,4-6,7-11,12-16,-,17-18,-,19+
108,UL,**Derek Jeter,Yankees,350,'04,12,21,SS+1,R,,-,1-2,3-5,6-,7-9,10-15,16-17,18-,19-,20+
118,CC,*Whitey Ford,Yankees,600,'04,6,8,Starter,L,CY 20 K,1-3,4-10,11-14,15-16,17-,18-19,-,20-23,-,24+
121,CC,*Phil Rizzuto,Yankees,440,'04,11,18,SS+4,R,V SB,-,1-3,4-5,6-,7-8,9-16,17-19,20-,21-,22+
226,UL,Roger Clemens,Yankees,520,'04,5,7,Starter,R,,1-2,3-8,9-14,15-17,18-,19-21,-,22-23,-,24+
227,UL,Chris Hammond,Yankees,150,'04,4,1,Reliever,L,,1-4,5-8,9-13,14-16,17-,18-19,-,20-25,-,26+
228,UL,Derek Jeter,Yankees,360,'04,12,13,SS+1,R,,-,1-2,3-5,6-,7-9,10-16,17-,18-19,-,20+
229,UL,Nick Johnson,Yankees,230,'04,13,11,1B+0,L,,-,1-,2-4,5-6,7-12,13-17,-,18-19,-,20+
230,UL,Hideki Matsui,Yankees,170,'04,10,9,LF-RF+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
231,UL,Mike Mussina,Yankees,510,'04,5,7,Starter,R,,1-,2-6,7-12,13-16,17-,18-19,-,20-24,-,25+
232,UL,Andy Pettitte,Yankees,330,'04,5,7,Starter,L,20,1-2,3-7,8-14,15-,16-17,18-19,-,20-24,-,25+
233,UL,Jorge Posada,Yankees,380,'04,13,13,C+6,S,S,-,1-2,3-5,6-7,8-12,13-17,-,18-,-,19+
234,UL,Mariano Rivera,Yankees,220,'04,5,1,Closer,R,,1-2,3-7,8-15,16-,17-,18-23,-,24-26,-,27+
235,UL,Alfonso Soriano,Yankees,460,'04,10,21,2B+2,R,,-,1-2,3-4,5-6,7-8,9-13,14-15,16-17,18-,19+
236,UL,Jeff Weaver,Yankees,10,'04,1,5,Starter,R,,1-4,5-7,8-14,15-16,17-,18-19,-,20-25,-,26+
237,UL,Bernie Williams,Yankees,90,'04,11,15,CF+1,S,,-,1-,2-4,5-7,8-12,13-18,-,19-,-,20+
238,UL,Enrique Wilson,Yankees,30,'04,9,12,IF+0,S,,-,1-2,3-4,5-6,7-,8-19,-,20-23,-,24+
