SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
109,1st,Frank Thomas,White Sox,340,'00,10,B,1B+0,R,-,-,1-2,3-5,6-11,12-17,-,18-19,-,20+
103,1st,Greg Norton,White Sox,240,'00,8,B,3B+0,S,-,1-,2-3,4-,5-11,12-16,-,17-18,-,19-20
96,1st,James Baldwin,White Sox,330,'00,3,6,Starter,R,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
105,1st,Jim Parque,White Sox,160,'00,0,6,Starter,L,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-
104,1st,Magglio Ordonez,White Sox,320,'00,8,B,LF-RF+2,R,-,-,1-3,4-5,6-,7-13,14-,15-16,17-,18-20
97,1st,Mike Caruso,White Sox,50,'00,5,B,SS+3,L,-,-,1-2,-,-,3-17,18-19,-,20-,-
108,1st,Mike Sirotka,White Sox,490,'00,5,07,Starter,L,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
101,1st,Paul Konerko,White Sox,270,'00,8,C,1B+0,R,-,-,1-3,4-5,6-8,9-14,-,15-16,17-,18-20
98,1st,Ray Durham,White Sox,370,'00,9,A,2B+2,S,-,1-,2-4,5-,6-9,10-15,16-17,18-,19-,20+
93,1st,*Jason Grimsley,Yankees,150,'00,4,1,Reliever,R,4-6,1-3,7-13,14-16,17-18,19-20,-,-,-,-
95,1st,*Jim Leyritz,Yankees,190,'00,7,C,"C+5, 1B+0",R,-,1-2,3-4,-,5-11,12-15,-,16-,17-,18-20
96,1st,*Ramiro Mendoza,Yankees,480,'00,4,07,Starter,R,5-7,1-4,8-13,14-16,-,17-19,-,20-,-,-
94,1st,*Roberto Kelly,Yankees,280,'00,8,B,OF+1,R,-,1-2,3-,4-,5-7,8-15,-,16-18,-,19-20
307,1st,Andy Pettitte,Yankees,350,'00,4,6,Starter,L,4-5,1-3,6-12,13-15,16-,17-19,-,20-,-,-
311,1st,Bernie Williams,Yankees,510,'00,10,B,OF+1,S,-,1-,2-3,4-,5-8,9-16,-,17-,18-,19-20
311,DS,Bernie Williams,Yankees,510,'00,10,B,OF+1,S,-,1-,2-3,4-,5-8,9-16,-,17-,18-,19-20
298,1st,Chad Curtis,Yankees,310,'00,10,B,LF-RF+2,R,-,1-,2-3,4-5,6-13,14-18,19-,-,-,20+
299,1st,Chili Davis,Yankees,230,'00,8,B,DH,S,-,1-,2-3,4-,5-10,11-16,-,17-18,-,19-20
302,1st,Chuck Knoblauch,Yankees,330,'00,9,A,2B+1,R,-,-,1-,2-4,5-11,12-16,17-,18-19,-,20+
297,1st,David Cone,Yankees,460,'00,5,6,Starter,R,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-
301,1st,Derek Jeter,Yankees,490,'00,10,B,SS+3,R,-,1-,2-3,-,4-8,9-15,16-,17-,18-,19-20
308,1st,Jorge Posada,Yankees,160,'00,7,C,C+5,S,-,1-2,3-,-,4-11,12-16,-,17-18,-,19-20
309,1st,Mariano Rivera,Yankees,210,'00,4,1,Closer,R,5-7,1-4,8-14,15-18,19-,20-,-,-,-,-
310,1st,Mike Stanton,Yankees,120,'00,5,1,Reliever,L,6-8,1-5,9-11,12-15,-,16-19,-,20-,-,-
300,1st,Orlando Hernandez,Yankees,430,'00,3,6,Starter,R,5-7,1-4,8-11,12-17,18-,19-,-,20-,-,-
306,1st,Paul O'Neill,Yankees,260,'00,8,B,LF-RF+1,L,-,-,1-3,4-,5-8,9-14,15-,16-18,-,19-20
305,1st,Ramiro Mendoza,Yankees,270,'00,4,2,Reliever,R,5-7,1-4,8-13,14-16,-,17-19,-,20-,-,-
303,1st,Ricky Ledee,Yankees,240,'00,7,B,LF-RF+1,L,-,1-2,-,3-,4-7,8-13,14-,15-16,17-,18-20
296,1st,Roger Clemens,Yankees,400,'00,3,6,Starter,R,6-7,1-5,8-12,13-16,17-18,19-20,-,-,-,-
295,1st,Scott Brosius,Yankees,190,'00,6,B,3B+3,R,-,-,1-,2-3,4-7,8-12,13-,14-16,-,17-20
304,1st,Tino Martinez,Yankees,250,'00,7,B,1B+1,L,-,-,1-,2-3,4-8,9-14,-,15-16,-,17-20
